academic_period_encoded,is_exam_period,days_since_semester_start,sin_day,cos_day,sin_week,cos_week,temperature_2m_mean,pm2_5_mean,precipitation_sum,wind_speed_10m_mean,temperature_range,heat_humidity_index,pollution_respiratory_risk,temp_fever_risk,cold_weather_stress,respiratory_digestive_interaction,pain_fever_interaction,total_symptom_load,symptom_diversity,respiratory_dominance,visit_count_lag_1,visit_count_lag_3,visit_count_lag_7,visit_count_lag_14,respiratory_count_lag_1,respiratory_count_lag_3,respiratory_count_lag_7,respiratory_count_lag_14,fever_count_lag_1,fever_count_lag_3,fever_count_lag_7,fever_count_lag_14,visit_count_rolling_3d,visit_count_rolling_7d,visit_count_rolling_30d,respiratory_count_rolling_std_3d,target,date
2,True,239,0.9973249731081556,0.0730951298980777,0.7818314824680298,0.6234898018587336,26.688751,14.0,1.9000001,4.610869,9.800000999999998,20.8894962488329,0.0,0.0,0.0,0.0,0.0,4.0,3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.5714285714285714,0.5666666666666667,0.0,pain,2023-03-28
2,True,240,0.9984354211555644,0.0559169901006034,0.9749279121818236,-0.2225209339563143,27.688751,14.28,0.6,4.631265,10.800001999999996,20.1325877627285,14.28,0.0,0.0,0.0,0.0,13.0,4,0.0714285714285714,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.4285714285714284,1.0,0.5773502691896222,other,2023-03-29
2,True,241,0.9992500112396836,0.0387222808921744,0.4338837391175582,-0.900968867902419,26.83042,11.6,8.500001,3.998105,9.9,21.301355955231,0.0,0.0,0.0,0.0,0.0,4.0,3,0.0,13.0,7.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,1.1333333333333333,0.5773502691896222,other,2023-03-30
1,False,254,0.9829265519799822,-0.18399835165768,0.9749279121818236,-0.2225209339563143,26.280418,17.93,13.9,5.9413013,7.699999000000002,23.2682813208255,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,1.1666666666666667,0.0,pain,2023-04-12
1,False,259,0.9634705485641488,-0.2678143051621742,0.0,1.0,26.774164,17.89,3.3,4.1158533,9.849999999999998,22.5469866974372,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,1.0,0.0,pain,2023-04-17
1,False,266,0.9242907221930932,-0.3816892202666588,0.0,1.0,27.230415,11.6,0.70000005,7.64078,8.549999,19.1770823937045,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,1.0333333333333334,0.0,digestive,2023-04-24
1,False,267,0.9175836260593936,-0.3975428142825559,0.7818314824680298,0.6234898018587336,27.309586,12.4,5.1,7.188601,8.700000000000003,21.02801663702689,24.8,0.0,0.0,0.0,0.0,3.0,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5714285714285714,1.1333333333333333,1.1547005383792504,respiratory,2023-04-25
1,False,268,0.9106046300942162,-0.4132786077829042,0.9749279121818236,-0.2225209339563143,27.686668,10.73,0.6,8.630758,9.950000999999997,20.0690301518168,10.73,0.0,0.0,0.0,0.0,2.0,2,0.3333333333333333,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8571428571428571,0.9666666666666668,0.999999999999999,respiratory,2023-04-26
1,False,269,0.9033558023246844,-0.4288919379124835,0.4338837391175582,-0.900968867902419,28.497084,9.59,0.4,6.4511495,8.599999999999998,19.222739358992403,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8666666666666667,0.999999999999999,dermatological,2023-04-27
1,False,274,0.8631421280499114,-0.5049610547215204,0.7818314824680298,0.6234898018587336,28.809586,9.14,0.2,8.489608,10.4,19.41090914942504,9.14,0.0,0.0,1.0,0.0,4.0,4,0.2,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.4333333333333333,0.5773502691896221,respiratory,2023-05-02
1,False,275,0.854322169749827,-0.5197438121555155,0.9749279121818236,-0.2225209339563143,28.878334,10.05,1.0,5.910433,9.650001999999995,20.22264654448036,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8571428571428571,0.4666666666666667,0.5773502691896221,pain,2023-05-03
0,False,520,0.0516196672232537,0.998666816288476,0.9749279121818236,-0.2225209339563143,23.524168,5.36,13.0,9.478257,5.100000000000001,21.024237023514,10.72,0.0,0.0,0.0,0.0,3.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0333333333333333,1.15470053837925,respiratory,2024-01-03
0,False,522,0.0859647987374464,0.9962981749346078,-0.433883739117558,-0.9009688679024191,24.282503,9.31,2.3000002,4.501679,6.349999,20.1655551678686,18.62,0.0,0.0,0.0,0.0,2.0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.0666666666666666,1.154700538379251,respiratory,2024-01-05
0,False,525,0.1372787721132647,0.9905324521322229,0.0,1.0,25.490831,12.06,0.0,4.3378177,6.400001,21.6043943933329,36.18,0.0,0.0,6.0,0.0,23.0,6,0.125,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,3.142857142857143,0.7333333333333333,1.7320508075688767,other,2024-01-08
3,False,526,0.1543088206642811,0.9880226656636976,0.7818314824680298,0.6234898018587336,24.382502,8.25,3.6999998,9.477528,7.0,20.40860183673672,33.0,48.765004,0.0,4.0,2.0,13.0,7,0.2857142857142857,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,4.428571428571429,1.0333333333333334,2.081665999466133,respiratory,2024-01-09
3,False,527,0.1712931441814776,0.9852201067560606,0.9749279121818236,-0.2225209339563143,22.353333,7.53,16.2,7.476484,4.799999,19.9895485072488,30.12,44.706666,0.0,4.0,2.0,12.0,6,0.3076923076923077,9.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,13.0,5.714285714285714,1.3666666666666667,0.5773502691896284,respiratory,2024-01-10
3,False,528,0.1882267098432442,0.9821256058680006,0.4338837391175582,-0.900968867902419,22.522085,10.01,1.1,7.2283883,6.350000000000001,18.41957798513775,30.03,22.522085,0.0,9.0,3.0,22.0,5,0.1304347826086956,10.0,20.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,11.333333333333334,7.857142857142857,1.8666666666666667,0.5773502691896284,other,2024-01-11
3,False,532,0.255353295116187,0.9668478136052776,0.0,1.0,21.95542,10.79,1.9,10.721097,6.300000999999998,17.545456534342,10.79,0.0,0.0,0.0,0.0,1.0,1,0.5,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,5.0,1.9,0.5773502691896262,respiratory,2024-01-15
3,False,533,0.2719581575341055,0.9623090774541486,0.7818314824680298,0.6234898018587336,21.634588,10.65,1.3000001,7.59129,7.599999,17.72085555007568,31.950000000000003,21.634588,0.0,0.0,1.0,11.0,6,0.25,1.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.6666666666666665,5.142857142857143,2.2333333333333334,1.527525231651947,other,2024-01-16
3,False,534,0.288482432880609,0.9574851883550392,0.9749279121818236,-0.2225209339563143,22.407501,13.42,1.9000001,4.3871436,8.8,19.076738013855,40.26,44.815002,0.0,0.0,2.0,21.0,6,0.1363636363636363,10.0,0.0,10.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,8.333333333333334,5.714285714285714,2.7,1.1547005383792524,other,2024-01-17
3,False,535,0.304921224656289,0.9523775757303974,0.4338837391175582,-0.900968867902419,24.324165,10.63,0.2,6.691217,8.049999,19.623996867384,31.89,24.324165,0.0,3.0,3.0,18.0,7,0.1578947368421052,14.0,1.0,15.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,12.333333333333334,5.428571428571429,3.1333333333333333,0.0,other,2024-01-18
3,False,539,0.3697245428906731,0.9291414114031744,0.0,1.0,23.188751,6.85,1.5000001,14.171604,5.700001,19.6333983625527,13.7,46.377502,0.0,0.0,4.0,15.0,6,0.125,0.0,0.0,1.0,20.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.6666666666666665,6.857142857142857,3.5,1.1547005383792508,other,2024-01-22
3,False,540,0.385663406243607,0.9226395488404876,0.7818314824680298,0.6234898018587336,21.961668,4.39,3.8999999,11.516173,4.0,17.7533138813364,13.169999999999998,0.0,0.0,0.0,0.0,7.0,4,0.375,11.0,0.0,10.0,9.0,2.0,0.0,3.0,4.0,2.0,0.0,1.0,2.0,5.666666666666667,6.285714285714286,3.7,1.5275252316519463,respiratory,2024-01-23
3,False,542,0.4171936026123168,0.9088176373395028,0.4338837391175582,-0.900968867902419,21.555418,7.71,1.3000001,7.2491474,6.199999999999999,16.326306391714397,7.71,0.0,0.0,2.0,0.0,12.0,4,0.0769230769230769,0.0,11.0,13.0,15.0,0.0,2.0,3.0,3.0,0.0,2.0,1.0,1.0,5.666666666666667,4.0,4.066666666666666,1.5275252316519463,other,2024-01-25
3,False,546,0.4787338401157884,0.8779600847008882,0.0,1.0,22.1825,10.8,0.90000004,5.1691856,9.25,17.7237873318,43.2,44.365,0.0,8.0,2.0,14.0,7,0.2666666666666666,0.0,0.0,11.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.333333333333333,4.285714285714286,4.5,2.309401076758503,respiratory,2024-01-29
3,False,547,0.4937755501599771,0.869589389346611,0.7818314824680298,0.6234898018587336,23.403336,12.16,1.0,6.397754,9.0,18.5464487009208,12.16,0.0,0.0,2.0,0.0,6.0,4,0.1428571428571428,13.0,0.0,6.0,10.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,6.333333333333333,4.285714285714286,4.7,2.0816659994661326,digestive,2024-01-30
3,False,548,0.5086709438521044,0.8609610158889943,0.9749279121818236,-0.2225209339563143,24.199165,11.36,0.4,5.558288,10.25,18.973152045264,11.36,0.0,0.0,0.0,0.0,1.0,1,0.5,6.0,0.0,0.0,14.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6.666666666666667,4.428571428571429,4.733333333333333,1.7320508075688772,respiratory,2024-01-31
3,False,554,0.5947266869607634,0.8039279618328213,0.7818314824680298,0.6234898018587336,24.317915,7.92,0.0,4.7115417,11.349999999999998,18.7973908216495,15.84,0.0,0.0,0.0,0.0,10.0,3,0.1818181818181818,0.0,0.0,6.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.4285714285714286,4.966666666666667,1.1547005383792517,other,2024-02-06
2,False,582,0.8996308696522433,0.436651231956064,0.7818314824680298,0.6234898018587336,26.678331,5.8,0.0,4.9451222,10.65,19.9687494283317,23.2,26.678331,0.0,0.0,1.0,8.0,5,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.4,2.309401076758504,respiratory,2024-03-05
2,False,583,0.907013812802636,0.4211008707960896,0.9749279121818236,-0.2225209339563143,26.753334,8.55,0.1,7.847294,8.55,19.7930608858902,17.1,0.0,0.0,0.0,0.0,3.0,2,0.5,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6666666666666667,0.7142857142857143,0.4666666666666667,2.0,respiratory,2024-03-06
2,False,589,0.9455963874271426,0.3253420847119801,0.7818314824680298,0.6234898018587336,23.161667,13.69,5.1999993,8.838479,3.2,19.673897484972105,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4285714285714285,0.2,0.0,neurological,2024-03-12
2,False,597,0.9813064702716092,0.1924515819708299,0.9749279121818236,-0.2225209339563143,23.795004,10.29,1.7000002,9.1870985,7.699999000000002,18.4893986451144,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.2333333333333333,0.0,pain,2024-03-20
2,False,598,0.9844738167520922,0.1755314904214282,0.4338837391175582,-0.900968867902419,25.53042,14.18,0.1,6.8621945,9.950001,17.939850836825997,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.3,0.0,dermatological,2024-03-21
1,False,631,0.9242907221930932,-0.3816892202666588,0.7818314824680298,0.6234898018587336,28.972086,8.44,13.9,4.2623944,12.05,21.99714784729176,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0333333333333333,0.0,pain,2024-04-23
1,False,632,0.9175836260593936,-0.3975428142825559,0.9749279121818236,-0.2225209339563143,29.786667,10.82,0.1,5.72756,12.849999,21.5120053740675,10.82,0.0,0.0,0.0,0.0,3.0,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5714285714285714,0.1333333333333333,0.5773502691896245,respiratory,2024-04-24
1,False,633,0.9106046300942162,-0.4132786077829042,0.4338837391175582,-0.900968867902419,30.199167,9.02,0.0,6.765623,12.599999999999998,20.67265374298128,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.7142857142857143,0.1666666666666666,0.5773502691896245,pain,2024-04-25
1,False,643,0.8263541987239096,-0.5631507242749186,-0.7818314824680299,0.6234898018587334,31.420004,5.55,0.0,7.9727254,12.049999999999995,18.28147922416816,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.2,0.0,pain,2024-05-05
1,True,647,0.7856498550787147,-0.6186714032625031,0.4338837391175582,-0.900968867902419,28.242918,7.21,1.5,7.354786,9.849999999999998,20.8146521108988,7.21,0.0,0.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4285714285714285,0.2666666666666666,0.5773502691896245,respiratory,2024-05-09
1,True,648,0.7748840413670407,-0.6321034111873487,-0.433883739117558,-0.9009688679024191,27.23667,6.82,24.5,3.9683235,7.599999999999998,22.655925129390003,6.82,0.0,0.0,0.0,0.0,2.0,2,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.3,0.5773502691896248,respiratory,2024-05-10
1,True,651,0.7412220108485958,-0.6712599575675313,0.0,1.0,27.890833,10.53,7.4999995,4.7468653,8.450000999999997,23.04154730058056,10.53,27.890833,0.0,0.0,0.0,3.0,3,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.4,0.5773502691896245,respiratory,2024-05-13
0,False,659,0.6420547132365637,-0.766658819300159,0.7818314824680298,0.6234898018587336,28.651253,9.73,2.8,4.5126114,10.35,22.9405196335436,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.4333333333333333,0.0,dermatological,2024-05-21
0,False,660,0.6287628145958344,-0.7775971469736269,0.9749279121818236,-0.2225209339563143,29.922081,7.3,0.1,5.9004045,9.900001999999995,21.259898872604698,21.9,0.0,0.0,0.0,0.0,3.0,1,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.5,1.7320508075688772,respiratory,2024-05-22
0,False,662,0.6016240632249226,-0.7987793728863649,-0.433883739117558,-0.9009688679024191,29.565832,8.77,1.5,6.9083915,9.000000000000004,22.07907327108112,0.0,29.565832,0.0,0.0,1.0,2.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.7142857142857143,0.4333333333333333,1.732050807568877,pain,2024-05-24
0,False,665,0.5595892624101765,-0.8287700871745038,0.0,1.0,28.055414,8.09,0.2,4.6480327,9.35,23.292264005029,16.18,28.055414,0.0,2.0,0.0,10.0,6,0.1818181818181818,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.333333333333333,1.7142857142857142,0.6333333333333333,1.1547005383792508,dermatological,2024-05-27
0,False,666,0.545240438540651,-0.8382797052177744,0.7818314824680298,0.6234898018587336,28.324167,12.92,23.500002,4.9393487,9.650000000000002,24.4467358233684,12.92,28.324167,0.0,0.0,1.0,5.0,5,0.1666666666666666,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.333333333333333,2.0,0.7333333333333333,0.9999999999999992,respiratory,2024-05-28
0,False,667,0.5307300481619334,-0.8475409228928311,0.9749279121818236,-0.2225209339563143,29.36583,10.82,1.3000001,7.584341,8.949999999999996,22.390558526934,10.82,0.0,0.0,2.0,0.0,3.0,2,0.25,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.8,0.5773502691896248,digestive,2024-05-29
0,False,668,0.5160623910158528,-0.8565509959010036,0.4338837391175582,-0.900968867902419,30.038752,10.68,0.6,5.9892635,8.599999999999998,21.7294684682624,10.68,30.038752,0.0,3.0,1.0,8.0,6,0.1111111111111111,2.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.333333333333333,3.142857142857143,1.0666666666666669,0.0,digestive,2024-05-30
0,False,669,0.5012418134457758,-0.865307254363206,-0.433883739117558,-0.9009688679024191,29.905416,11.51,3.0999997,5.460756,10.250001999999997,22.2358999275144,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,8.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.6666666666666665,3.0,1.1,0.5773502691896243,pain,2024-05-31
0,False,672,0.4559066935084588,-0.8900275764346767,0.0,1.0,27.242918,9.73,21.500002,3.8527873,5.350000000000001,24.3544767218828,19.46,0.0,0.0,4.0,0.0,9.0,5,0.2,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,3.142857142857143,1.3666666666666667,1.1547005383792508,pain,2024-06-03
